panel_idx,text,confidence
1,O58',0.1132
1,'1,0.6647
1,T *,0.039
1,1,0.1681
1,2,0.0476
1,WiortiI,0.0048
1,K,0.0504
1,33,0.0064
1,Acocazi,0.0422
1,0,0.2647
1,{,0.213
1,;)}e,0.031
1,~M,0.1357
1,innn,0.1449
1,9a1,0.0807
1,In},0.6894
1,91,0.1612
1,3 9,0.137
1,~4 $,0.1199
1,8},0.0327
1,M6,0.0355
