panel_idx,text,confidence
1,MPa,0.9995
1,Klle:,0.2941
1,@',0.2273
2,MPa,0.9953
2,Ktg,0.0813
2,Il@,0.165
2,Xnninn,0.0011
2,"""iecics",0.0409
