panel_idx,text,confidence
1,01 4 09,0.2756
1,BxB9,0.1453
2,1120,0.2225
2,0l,0.1345
2,05,0.5517
2,7,0.1369
2,S,0.7671
2,858,0.9443
2,PYRI,0.7356
3,MWPERuurecOuoua,0.0261
3,Pi,0.647
3,8898F,0.6494
3,SQ,0.2223
3,8208,0.9617
3,L,0.09
3,4D,0.2944
3,AT',0.3767
3,0),0.773
3,Xal,0.2864
3,Quoni,0.4751
4,UERTURECORROLLER,0.1959
4,998,0.4004
4,SV,0.9498
4,Iars8,0.6353
4,CW,0.6719
4,@,0.6946
4,ID,0.1656
4,AT;,0.4354
4,Z,0.7555
4,Quoda,0.6703
5,6,0.4947
5,()),0.2756
5,4,0.361
5,a1,0.0952
5,0,0.2392
5,PXI9,0.1554
6,0ld,0.4
6,012 0l,0.1979
6,SV,0.7404
6,533,0.3375
6,PxDI,0.1788
7,AV,0.7646
7,YOKoT,0.1853
7,QTi,0.1145
7,J[TI,0.1449
7,rani'nin,0.1895
7,Ishtr . Vu;,0.0522
7,Lv,0.0923
7,H8,0.1674
8,COK,0.1556
8,Yyi,0.5633
8,XI,0.1671
8,FNW'I,0.8107
