panel_idx,text,confidence
1,ehlr,0.129
1,42,0.6072
1,869,0.5842
1,3,0.9736
2,{cvl,0.0716
2,NM=,0.0534
2,"0,0 bor",0.7212
2,Rolo 40S,0.5186
2,Modulailng -,0.8215
2,"FlrIng,",0.6549
2,S=73_8,0.0344
2,Mhiikel,0.1934
2,@saipo,0.2273
2,O@bD,0.1698
2,Tirino,0.2359
