panel_idx,text,confidence
1,M16]1781,0.6935
1,SK,0.9947
1,1Ca11001-SMUOI3,0.4319
1,HV Ric Uo,0.5128
1,"11 1 """,0.1058
1,PoWoGaz,0.9963
1,0,0.3083
1,MWN130-50,0.9583
1,MAP16,0.9628
1,"Q-25m""m",0.5328
1,"0,01",0.9953
1,AP1O,0.9774
1,X,0.9569
1,"T130 ,",0.4637
1,"0,007",0.9991
