panel_idx,text,confidence
1,Og01,0.0395
1,1,0.1614
1,4,0.9936
1,Kctl,0.0529
1,C,0.4282
1,{802021,0.0712
1,15: m,0.3138
1,"1,,",0.2184
1,Sminoe,0.0081
1,7717,0.2246
1,;8 X,0.0205
