panel_idx,text,confidence
1,ALw,0.124
1,Al a,0.2217
1,PV,0.9414
1,S19,0.0595
1,PXRI,0.5281
2,412},0.1463
2,4l,0.2831
2,ng,0.2578
2,SV,0.7529
2,858,0.443
2,P39,0.244
3,6,0.4522
3,IAlj),0.1058
3,IQ n,0.6925
3,En,0.1491
3,RSI,0.0973
4,@@ercwurecortrolea,0.0936
4,SV,0.5018
4,88s81,0.3515
4,Qu,0.6545
4,@,0.1327
4,0,0.0749
4,Lid,0.8946
4,AT;,0.7928
4,2Qq,0.1838
4,Quoi,0.6017
5,euperqurECO}uottG3,0.0198
5,8888,0.9705
5,SV,0.4807
5,8288,0.4981
5,JD,0.8666
5,nG,0.1975
5,@utonts,0.1702
6,Dun,0.5479
6,C2,0.3563
6,041,0.1296
6,04 43,0.3383
6,8,0.485
6,S,0.4601
6,633,0.9733
6,RYRI),0.3287
7,YOKOTWA,0.3472
7,Ikz,0.4465
7,0,0.3096
7,Vmy,0.0719
7,JII,0.4191
7,tr(,0.1441
7,{nv{TTM,0.0796
7,INchit / ual,0.0597
7,L,1.0
8,44,0.9379
8,I0Ti,0.0717
8,ma,0.0428
8,FMUPITI:,0.0438
