panel_idx,text,confidence
1,CCTCZ,0.1269
1,Wo,0.3708
1,khlks,0.2773
1,426,0.9391
1,6 MF,0.2772
2,D8O,0.1536
2,644 bat,0.1888
2,Rolo,0.8034
2,i003,0.1631
2,Modulollng ,0.3738
2,5,0.3747
2,Z=S_8_01,0.017
2,MMBmM,0.2157
2,@nio,0.4086
2,toob,0.0749
2,Tiring,0.7637
2,Tltlng,0.3617
