panel_idx,text,confidence
1,[16]1781:,0.2396
1,SK,0.972
1,10.811001 SMUO13,0.3813
1,HV Rsc Uj DJ,0.6591
1,V 11,0.3143
1,1,0.6857
1,PoWoGaz,0.9937
1,"X0,1",0.611
1,MWN130-50,0.5208
1,MAPI6,0.6155
1,"Q-25m""mh",0.3488
1,"0,01",0.9997
1,AP1O,0.9272
1,T130,0.954
1,"+0,007",0.8307
