panel_idx,text,confidence
1,01,0.2014
1,A2 a,0.1006
1,0,0.9994
1,Px39,0.741
2,FlQ,0.1596
2,1L,0.0756
2,(5,0.5262
2,ij,0.2761
2,S,0.8439
2,85,0.8165
2,39,0.9425
3,WElureCoOW,0.0636
3,s,0.0489
3,'b8s8,0.0965
3,C,0.3008
3,4D,0.4703
3,AT;,0.8779
3,Rn4,0.1378
3,Quoda,0.2689
4,Fz,0.1371
4,Q,0.4416
4,Al},0.0973
4,A,0.2505
4,0l),0.204
4,P39,0.4651
5,PPERrEcQon,0.089
5,88985,0.1363
5,SV,0.5277
5,'8208,0.3629
5,0,0.4184
5,Lid,0.6094
5,AT,0.8337
5,JQ},0.379
5,Qa,0.3259
5,Quonkas,0.2534
6,QV,0.5259
6,Koko,0.4494
6,3,0.1958
6,RtOTr,0.0583
6,Jni,0.1429
6,OTI,0.1565
6,"tanl""n1:",0.0542
6,rta,0.2552
6,2,0.9947
7,04o,0.1389
7,Al2 449,0.0413
7,SM,0.4797
7,833,0.666
7,DXRI,0.3187
8,Yy,0.2867
8,PHPM'ITL,0.2634
